ensembl_gene_id	entrezgene_id	hgnc_symbol
160	ENSG00000058673	9877	ZC3H11A
161	ENSG00000058799	54432	YIPF1
162	ENSG00000058804	55706	NDC1
163	ENSG00000058866	1608	DGKG
164	ENSG00000059588	6894	TARBP1
165	ENSG00000059728	4084	MXD1
166	ENSG00000060642	55650	PIGV
167	ENSG00000060656	10076	PTPRU
168	ENSG00000060688	9410	SNRNP40
169	ENSG00000060971	30	ACAA1
170	ENSG00000061676	10787	NCKAP1
171	ENSG00000061938	10188	TNK2
172	ENSG00000063660	2817	GPC1
173	ENSG00000063978	6047	RNF4
174	ENSG00000064012	841	CASP8
175	ENSG00000064225	10402	ST3GAL6
176	ENSG00000064703	11218	DDX20
177	ENSG00000064886	1117	CHI3L2
178	ENSG00000064933	5378	PMS1
179	ENSG00000064989	10203	CALCRL
180	ENSG00000065135	2773	GNAI3
181	ENSG00000065183	10885	WDR3
182	ENSG00000065243	5586	PKN2
183	ENSG00000065413	91526	ANKRD44
184	ENSG00000065485	10954	PDIA5
185	ENSG00000065518	4710	NDUFB4
186	ENSG00000065526	23013	SPEN
187	ENSG00000065534	4638	MYLK
188	ENSG00000065548	55854	ZC3H15
189	ENSG00000065600	55248	PACC1
190	ENSG00000065802	51665	ASB1
191	ENSG00000065882	23216	TBC1D1
192	ENSG00000065911	10797	MTHFD2
193	ENSG00000065978	4904	YBX1
194	ENSG00000066027	5525	PPP2R5A
195	ENSG00000066056	7075	TIE1
196	ENSG00000066135	9682	KDM4A
197	ENSG00000066136	4802	NFYC
198	ENSG00000066279	259266	ASPM
199	ENSG00000066294	8832	CD84
200	ENSG00000066322	64834	ELOVL1
201	ENSG00000066422	27107	ZBTB11
202	ENSG00000066557	55631	LRRC40
203	ENSG00000067066	6672	SP100
204	ENSG00000067208	7813	EVI5
205	ENSG00000067334	30836	DNTTIP2
206	ENSG00000067533	51018	RRP15
207	ENSG00000067560	387	RHOA
208	ENSG00000067606	5590	PRKCZ
209	ENSG00000067704	55699	IARS2
210	ENSG00000068001	8692	HYAL2
211	ENSG00000068024	9759	HDAC4
212	ENSG00000068028	11186	RASSF1
213	ENSG00000068654	25885	POLR1A
214	ENSG00000068697	9741	LAPTM4A
215	ENSG00000068724	57217	TTC7A
216	ENSG00000068745	51447	IP6K2
217	ENSG00000068784	55133	SRBD1
218	ENSG00000068878	23198	PSME4
219	ENSG00000068885	57560	IFT80
220	ENSG00000068912	27248	ERLEC1
221	ENSG00000069248	55746	NUP133
222	ENSG00000069275	64710	NUCKS1
223	ENSG00000069424	8514	KCNAB2
224	ENSG00000069702	7049	TGFBR3
225	ENSG00000069812	54626	HES2
226	ENSG00000069849	483	ATP1B3
227	ENSG00000070087	5217	PFN2
228	ENSG00000070476	79364	ZXDC
229	ENSG00000070759	10420	TESK2
230	ENSG00000070785	8891	EIF2B3
231	ENSG00000070831	998	CDC42
232	ENSG00000070950	56852	RAD18
233	ENSG00000071051	8440	NCK2
234	ENSG00000071054	9448	MAP4K4
235	ENSG00000071073	11320	MGAT4A
236	ENSG00000071082	6160	RPL31
237	ENSG00000071127	9948	WDR1
238	ENSG00000071282	29995	LMCD1
239	ENSG00000071575	28951	TRIB2
240	ENSG00000071794	6596	HLTF
241	ENSG00000071909	140469	MYO3B
242	ENSG00000071967	79901	CYBRD1
243	ENSG00000072135	26469	PTPN18
244	ENSG00000072163	55679	LIMS2
245	ENSG00000072195	10290	SPEG
246	ENSG00000072201	84708	LNX1
247	ENSG00000072274	7037	TFRC
248	ENSG00000072694	2213	FCGR2B
249	ENSG00000072756	51095	TRNT1
250	ENSG00000072840	2121	EVC
251	ENSG00000072858	54847	SIDT1
252	ENSG00000073111	4171	MCM2
253	ENSG00000073282	8626	TP63
254	ENSG00000073737	10170	DHRS9
255	ENSG00000073756	5743	PTGS2
256	ENSG00000073792	10644	IGF2BP2
257	ENSG00000073803	9175	MAP3K13
258	ENSG00000073849	6480	ST6GAL1
259	ENSG00000074054	23332	CLASP1
260	ENSG00000074416	11343	MGLL
261	ENSG00000074582	617	BCS1L
262	ENSG00000074800	2023	ENO1
263	ENSG00000074964	55160	ARHGEF10L
264	ENSG00000074966	7294	TXK
265	ENSG00000075151	8672	EIF4G3
266	ENSG00000075292	27332	ZNF638
267	ENSG00000075340	119	ADD2
268	ENSG00000075420	64778	FNDC3B
269	ENSG00000075426	2355	FOSL2
270	ENSG00000075539	285527	FRYL
271	ENSG00000075568	23505	TMEM131
272	ENSG00000075651	5337	PLD1
273	ENSG00000075711	1739	DLG1
274	ENSG00000075785	7879	RAB7A
275	ENSG00000075884	55843	ARHGAP15
276	ENSG00000075914	23016	EXOSC7
277	ENSG00000075945	22920	KIFAP3
278	ENSG00000075975	23609	MKRN2
279	ENSG00000076003	4175	MCM6
280	ENSG00000076201	25930	PTPN23
281	ENSG00000076242	4292	MLH1
282	ENSG00000076258	2329	FMO4
283	ENSG00000076321	27252	KLHL20
284	ENSG00000076356	5362	PLXNA2
285	ENSG00000076864	5909	RAP1GAP
286	ENSG00000077044	8527	DGKD
287	ENSG00000077097	7155	TOP2B
288	ENSG00000077152	29089	UBE2T
289	ENSG00000077157	4660	PPP1R12B
290	ENSG00000077232	54431	DNAJC10
291	ENSG00000077254	23032	USP33
292	ENSG00000077380	1781	DYNC1I2
293	ENSG00000077522	88	ACTN2
294	ENSG00000077549	832	CAPZB
295	ENSG00000077585	7107	GPR137B
296	ENSG00000078070	56922	MCCC1
297	ENSG00000078081	27074	LAMP3
298	ENSG00000078140	3093	UBE2K
299	ENSG00000078177	55728	N4BP2
300	ENSG00000078369	2782	GNB1
301	ENSG00000078618	4898	NRDC
302	ENSG00000078808	51150	SDF4
303	ENSG00000078900	7161	TP73
304	ENSG00000079150	51661	FKBP7
305	ENSG00000079246	7520	XRCC5
306	ENSG00000079257	56925	LXN
307	ENSG00000079263	11262	SP140
308	ENSG00000079277	8569	MKNK1
309	ENSG00000079308	7145	TNS1
310	ENSG00000079335	8556	CDC14A
311	ENSG00000079739	5236	PGM1
312	ENSG00000079785	1653	DDX1
313	ENSG00000080200	131544	CRYBG3
314	ENSG00000080345	55183	RIF1
315	ENSG00000080819	1371	CPOX
316	ENSG00000080822	56650	CLDND1
317	ENSG00000080947	114819	CROCCP3
318	ENSG00000081019	54665	RSBN1
319	ENSG00000081026	260425	MAGI3
320	ENSG00000081052	1286	COL4A4
321	ENSG00000081154	57092	PCNP
322	ENSG00000081237	5788	PTPRC
323	ENSG00000081307	79876	UBA5
324	ENSG00000081320	9262	STK17B
325	ENSG00000081692	65094	JMJD4
326	ENSG00000081721	11266	DUSP12
327	ENSG00000081870	51668	HSPB11
328	ENSG00000081985	3595	IL12RB2
329	ENSG00000082146	55437	STRADB
330	ENSG00000082153	9689	BZW1
331	ENSG00000082258	905	CCNT2
332	ENSG00000082438	22837	COBLL1
333	ENSG00000082512	7188	TRAF5
334	ENSG00000082701	2932	GSK3B
335	ENSG00000082781	3693	ITGB5
336	ENSG00000082898	7514	XPO1
337	ENSG00000082996	11342	RNF13
338	ENSG00000083444	5351	PLOD1
339	ENSG00000083896	91746	YTHDC1
340	ENSG00000083937	25978	CHMP2B
341	ENSG00000084070	64744	SMAP2
342	ENSG00000084072	10450	PPIE
343	ENSG00000084073	10269	ZMPSTE24
344	ENSG00000084090	56910	STARD7
345	ENSG00000084092	84273	NOA1
346	ENSG00000084093	5978	REST
347	ENSG00000084623	8668	EIF3I
348	ENSG00000084636	1307	COL16A1
349	ENSG00000084652	200081	TXLNA
